day,slot,time_label
1,0,09:00-09:45
1,1,10:00-10:45
1,2,11:00-11:45
1,3,12:00-12:45
1,4,13:15-14:00
1,5,14:15-15:00
1,6,15:15-16:00
1,7,16:15-17:00
2,0,09:00-09:45
2,1,10:00-10:45
2,2,11:00-11:45
2,3,12:00-12:45
2,4,13:15-14:00
2,5,14:15-15:00
2,6,15:15-16:00
2,7,16:15-17:00
